,Title,Company,Location,Salary,Summary
494,Warehouse and stores incharge,Trimax Umb Pvt Ltd,"Shencottah, Tamil Nadu",Nan,Graduate with 5- 10 yrs experience in a garment or similar type of I industry. Job Type: Full-time Industry: * Production &…
495,Apprenticeship Trainee,Oil India Limited,"Dibrugarh, Assam",Nan,FreshersLIVE wishes you all the best. Candidates not uploading all the above required information before the closing date will be summarily rejected and will…
496,Mainframe - Natural,Zensar Technologies,"Pune, Maharashtra",Nan,"You will be a part of a team of engineers that demonstrates technical competency in resolving application issues, and also available 24*7 for on call support."
497,Executive,Syngene,India,Nan,"Microbial sampling, monitoring of environment, water testing, utility monitoring, bioload testing. Microbial Test to be performed – MLT, BET, validations and…"
498,Warehouse Operations,Ericsson,"Pune, Maharashtra",Nan,Supervise and co-ordinate tactical distribution and Warehouse activities with the main focus on maintaining a robust execution with responsibilities to further…
499,State Executive Planning,Reliance Jio Infocomm Limited,"Dhanbad, Jharkhand",Nan,Plan for project execution to achieve defined targets. Implement strategies for maximizing profitability. Follow-up with vendors for timely material delivery.
500,NUN Community Volunteer - Coordinator (Youth Advocates) - Ra...,ActiveUnited Nations Development Programme (UNDP),"Raipur, Chhattisgarh",0,"Further, one-time payment of Rs. Strengthen their knowledge and understanding of the concept of volunteerism by reading relevant UNV and external publications…"
501,Opening For Supervisor & Fire & Safety Officer,Sadhana,"Mumbai, Maharashtra",62500.0,Hi We are Hiring For Fire SafetyOfficer Hiring For All India Abroad Salary - 35k to 90k per monthRole Fire SafetyOfficer -Lead and participate in the duties of…
502,Data Entry Operator/Computer Operator,SCIENCE OLYMPIAD FOUNDATION,"Gurgaon, Haryana",162000.0,Looking for data entry operator. Must posses good knowledge of computer. Can handle inter coordination among depatments.
503,Looking For Tender Executive @ Aculife Healthcare Pvt Ltd.,Aculife Healthcare Pvt Ltd,"Ahmedabad, Gujarat",220000.0,"To constantly track internet portals & to initiate new business opportunity & break through with CentralGovernment institutes like, Army, Railway’s ESIC, CGHS,…"
504,New Opening For Office Staff Data Entry Work Only Freshers,R B Agarwalla and Company,"Kolkata, West Bengal",189000.0,"We are looking for computer Operator , Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be…"
505,Accounts & Admin Executive,QUAUTO Technologies Private Limited,"Tilaknagar, Madhya Pradesh",220000.0,Check to ensure online bank account numbers of suppliers are set up accurately and all payments are properly authorised. Very good command on MS Excel.
506,Operations Executive,Endeavor Careers,India,Nan,Executing and enhancing the support systems in providing best facilities. Ensure smooth student faculty coordination for student development.
507,[Government] Sub Divisional Clerk(Re-Advertised),"Haryana Staff Selection Commission, Panchkula","Panchkula, Haryana",639600.0,Hindi/Sanskrit as one of the subject in Matriculation or Higher. Please see Detailed Advertisement Link for full info: Thereafter website link will be.
508,Hiring Company Secretaries,acreaty,India,Nan,"We are looking for two company secretaries with below specifications : Ensuring Compliance of Companies Act, 2013, Secretarial Standards, Handling Secretarial…"
509,Receptionist/Administration Assistant,Yours Ethnic Foods Pvt Ltd,"Ahmedabad, Gujarat",150000.0,"Maintain All Bank Slip Book. Assisting In Recruitment, Such As Calling Candidates for Interview, Collect CV and Employee Evaluation forms, candidates Various…"
510,Airport Ground Staff Handling,Ground Job,India,288000.0,"Airport Ground Staff Handling Jobs In Kolkata, 7044106140. WE ARE HIRING FRESHER & EXPERIENCE CANDIDATE FOR MANY REPUTED AIRLINES."
511,System Administrator,Exito Media Concepts,"Bengaluru, Karnataka",Nan,"To be successful in this role, you should have excellent troubleshooting skills and hands-on experience with various operating systems."
512,"Customer Care, Data entry- 10th/12th Fresher",AE-RT Private Limited,"Deccan Gymkhana, Maharashtra",228000.0,"BPO / Call Centre / ITESFunctional Area: ITES , BPO , KPO , LPO , Customer Service , OperationsRole Category: Answer calls professionally to provide information…"
513,Office Administrator,BOEING,"Bengaluru, Karnataka",Nan,Coordinate and make domestic and international business travel arrangements and monitor on-going logistics for all designated business travelers.
514,"Hiring For Credit Officer For-Jodhpur,Alwar,Bhilwra location",Kamal Autofinance Ltd.,"Jodhpur, Rajasthan",Nan,"The candidate will be required to visit clients, assess them based on personal discussion and interview and ensure that all files are turned around within…"
515,[Government] Kumbakonam Central Cooperative Bank Aug-2019,Kumbakonam Central Cooperative Bank,India,369000.0,"Maximum – 30 years for OC, No limit for Widows, Pay Scale: The Tentative date of Written Examination is 20th October 2019 (From 10:00 AM to 1:00 PM)."
516,Junior Project Coordinator,Paexskin Solutions Pvt Ltd,"Pune, Maharashtra",360000.0,"Excellent documentation skills and attention to detail, • Ability to write business reports in a well-organized manner., • Excellent understanding of financial…"
517,Data Entry Operator,Dook Travels Pvt. Ltd.,"Connaught Place, Delhi, Delhi",1680000.0,"For further information, please visit: As an International Tour Operator for over a decade, Dook has been successfully operating fixed departures from India to…"
518,Production Supervisor,Shri Rani Sati Containers PVT.LTD,"Vasai, Maharashtra",210000.0,"Finished goods storage and dispatch. Offset know how, .Production expert, Labour management."
519,Immediate Hiring - Web/Data Researcher,Sage InfoTech,"Ahmedabad, Gujarat",Nan,Sage Infotech is looking for Interested Candidates for this profile of Web/Data Research (Night shift & Day Shift) with an excellent attitude and fast web…
520,Event Operations,SportzConsult,"Mumbai, Maharashtra",66000.0,Ensure that the venue setup including branding is ready on time and all the elements required at the venue are available. Ensure Filed of play is ready.
521,Customer service representatives,GRESCASA CERAMICS,"Andheri, Mumbai, Maharashtra",Nan,"Knowing our products inside and out so that you can answer questions. Customer service representatives help customers with complaints and questions, give…"
522,System Administrator,Enfowiz Solution,"Ahmedabad, Gujarat",210000.0,"Experience working with computer hardware for hardware installation and upgrade, Experience working with software installation/upgrading procedure, Experience…"
523,Marketing Executive,A2Z IT SOLUTION,"North Lakhimpur, Assam",420000.0,For full details contact us. We want marketing agent in every district in north east for sale our product.
524,Assistant Cum Data Entry Operator,Ceramic Technologies Corp,"Delhi, Delhi",280000.0,Phase 1 gurgaon -Company Address : Assistant Cum Data Entry Operator Education : Phase 1 gurgaon Last Date: Assistant Cum Data Entry Operator Jobs In Posted On…
525,Plant Operator-RO/ETP/STP,WTT TECHNOLOGY SERVICES PVT LIMITED,"Bhilwara, Rajasthan",Nan,Job Summary Urgent requirement Plant Operator - RO/ETP/STP-Water treatment plant With good salary and accommodation. Job Type: Full-time Experience: …
526,District Program Officer,Clinton Health Access Initiative (CHAI),"Bhopal, Madhya Pradesh",Nan,"(CHAI) is a global health organization committed to saving lives and reducing the burden of disease in low-and middle-income countries, while strengthening the…"
527,Fresher Data Entry Operator/Computer Operator,Benpour private limited,"Salt Lake City, West Bengal",198000.0,Call Hr Ritik 79 8851 4045. Give the regular Detail of business. Age Limit 18Year To 30 Years. We are Looking Data Entry Operator staff .
528,Customer Support Executive,Cupeq,"Mumbai, Maharashtra",300000.0,Understanding and striving to meet or exceed call center metrics while providing excellent consistent customer service.
529,Akola chemicals India Limited,Akola chemicals India Limited,"Rajahmundry, Andhra Pradesh",390000.0,*Company Name. : Akola Chemicals India Limited work location. : * Akola Age limit. : 18-45 Gender. : Both Male And Female Married status. : Mostly…
530,Teacher,Risekids,India,Nan,To take care of the learners in your care. To prepare and deliver lessons as per the curriculum. To assess learners and report on their learning.
531,Front Desk Executive,MA Group of Companies,India,Nan,Front Desk Executive No. of Position:1 Experience:1 Year Knowledge and Skills: Must have experience of transfer calls and guest handling Good Communication…
532,Stores Incharge,EDU MINDS,"Hyderabad, Telangana",225000.0,Urgent requirement for stores Incharge position in our company interested candidates can forward your resume and directly walkin to office.
533,Call Center Executive,Feedback Energy Distribution Company Ltd.,"Shillong, Meghalaya",Nan,"Maintains call center database by entering information. Makes calls to customers to address and close complaints. Must be fluent in English, Khasi or Garo."
534,Project Executive-IIMBx,"Indian Institute of Management, Bangalore",India,Nan,The institute firmly believes that such hiring is no way a charity but makes business sense as it is proven that Persons with disability are both highly…
535,evaluator,"President Hyundai,Godhra","Godhra, Gujarat",108000.0,Job Summary na Responsibilities and Duties na Key Skills na Required Experience and Qualifications na Benefits na Job Type: Full-time Salary: ₹8…
536,Require Tele Caller,ESMSYS,"Ahmedabad, Gujarat",Nan,"ESMSYS is a fastest growing company headquartered in USA with its branch offices located at Ahmedabad and Hyderabad and offering services in the fields of IT,…"
537,CA_ Supervising Associate_Content Writing,EY,"Gurgaon, Haryana",Nan,Helping to oversee the transformation of content into digital formats so that it provides a compelling and engaging content experience across our sites that is…
538,[Government] ECIL Aug-2019,ECIL,India,Nan,Eligible Experienced Marketing Professionals have to apply online through ECIL e-recruitment portal on or before 16/09/2019 up to 4:00 PM.
539,Fresher Data Entry Operator/Computer Operator,martin india pvt ltd,"Barakhamba, Delhi, Delhi",228000.0,"We are looking for Data Entry Operator (DEO), Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he will be…"
540,Delivery Boy / Delivery Executive (Fresher) - Ahmedabad,Ride.Swiggy,"Ahmedabad, Gujarat",0,"Candidates with prior experience in data entry, call centre, collection agents can apply to maximise their earnings up to 35,000 Rs++ per month."
541,Purchase Incharge,JPNCA,"JP NAGAR 2ND PHASE, Karnataka",198000.0,We are looking For Purchase In charge. (1) Preparing Indent on Liquor/ Housekeeping / Stationery & getting approval from concerned.
542,Data Entry Operators,Necc Group,India,Nan,"The candidate should have basic knowledge of Windows operating system. MS Access, SQL server 2000, data base etc."
543,"Operator I, Packing",Baxter International,"Ahmedabad, Gujarat",Nan,"If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please send an e…"
544,Logistics Executive -,Buildon Plasters Pvt Ltd,"Andheri, Mumbai, Maharashtra",250000.0,We are looking for a Logistics Executive to look after the following areas. Import and export of Materials. Salary is not a bar for the right candidate.
545,Office Assistant Helper,MARUTI SUZUKI LTD COMPANY,"Delhi, Delhi",324000.0,1 -QUALIFICATION :- 10TH TO GRADUATION /POST GRADUATION ANY FIELDS AND ANY STREAM. 3 -DESIGNATION OF JOB :- ACCORDING TO THE QUALIFICATION AND EXPERIENCE.
546,Office coordinator,Precision Machines and Automation,"Mohali, Punjab",Nan,1) knowledge of MS Office. 2) excellent communication skills Job Type: Full-time Experience: * work: 1 year (Preferred) * total work: 1 year (Preferred)…
547,Visa Counselor cum Student Coordinator,Focus Education Pvt Ltd,"Ahmedabad, Gujarat",240000.0,0 - 2 years in relevant industry. The right candidate has to do the counseling of students for international study destinations.
548,"Immediate Hiring - Web/Data Researcher (Day Shift, 5 Days Wo...",Sage InfoTech,"Ahmedabad, Gujarat",Nan,Sage Infotech is looking for Interested Candidates for this profile of Web/Data Research (Day shift) with an excellent attitude and fast web browsing skills.
549,Service in charge,CEE PEE SUZUKI,"Vadakara, Kerala",Nan,Job Summary \* Branch situated at Ayanchery \* Male \* B tech or Diploma ( Automobile / Mechanical ) \* Fresh / Exp \* Basic computer knowledge Job Type:…
550,Accounts Executive,Savage & Palmer,"Wadala, Maharashtra",210000.0,Should be presentable with excellent written & verbal communication skills. Savage and Palmer is a startup accounts and advisory firm that is.
551,CA Inter,Niraamaya Retreats Pvt Ltd,"Bengaluru, Karnataka",600000.0,Lead the day to day activities of an accounting and reporting team that is performing Accounting & Reporting. Should be completed CA Inter.
552,Executive Assistant to CEO,Presidential Towers,"Bengaluru, Karnataka",630000.0,Co-Ordinate & Train the Call center & GRE team to ensure effective handling of customer Enquires. Should have experience in Related Industry.
553,Storekeeper,Pergola,"Pune, Maharashtra",Nan,We are searching for an organized and detail-oriented storekeeper to manage all of the operations in our storeroom.
554,AGM - Finance,Client of Belhem,"Bengaluru, Karnataka",1100000.0,"Build relationships and interact with clients to provide excellent planning, consulting and expertise. … Improve processes by developing or implementing best…"
555,Banking / Marketing,IB Services & Technologies,India,300000.0,"1.Sourcing of Accounts from the business pocket assigned2.Coordinating with the supervisor & respective branch heads for targets, dealing with various clients3…"
556,MIS Executive,HP,"Bengaluru, Karnataka",330000.0,Hi we are hiring for MIS executive for Bangalore location company called HP salary up to 25K to 30K. … MIS Executive and data analyst.
557,Commercial & Legal Executive,Phonon Communications,"Vadodara, Gujarat",Nan,"Phonon’s cloud-based and on-premise solutions include ML & AI-powered IVRs, Chat-bots, ACDs, Outbound Dialers, Click-to-Call™ and web re-targeting solutions."
558,Officer / Executive Accounts (Perfumery Division),Pitambari Products,India,Nan,Follow up with all factories related to perfumery division to obtain monthly scrap report & further process. … OFFICER / EXECUTIVE ACCOUNTS (PERFUMERY DIVISION) :…
559,Accounts receivable,Zensar Technologies,"Pune, Maharashtra",Nan,"Accounts receivable - (0044127) Description NA Primary Location: India-Maharashtra-Pune Job Posting: Aug 27, 2019 1 To…"
560,NUN Community Volunteer - Coordinator (Youth Advocates) - Ha...,ActiveUnited Nations Development Programme (UNDP),"Dehra Dun, Uttarakhand",0,"The maximum temperature that you can expect during the summer is around Summer 20 °C to 40 °C. … Haridwar has an average literacy rate of 70%, higher than the…"
561,"Project Associate, Community Volunteer",United Nations Development Programme,"Delhi, Delhi",0,Bachelors’ degree from a recognized institution in economics/finance/Development studies/ Sustainable Development or any other related field One year of…
562,Site Auditor,OLX Group,"Gurgaon, Haryana",Nan,"If you are as excited as us about this position and our company, we hope you join us! … Graduation / bachelor’s degree is required. … What you will be doing:…"
563,Receptionist /Front Office/Office admin,TALENT MAX HR & MANAGEMENT CONSULTANTS,"Indore, Madhya Pradesh",Nan,Minimum 3 years of experience in RECEPTIONIST / Secretary / Front Office. … Maintenance of Up to date Contact Details of Key Persons.
564,Excellent opportunity For Helpdesk Executive -,Vidal Health,"Ahmedabad, Gujarat",145000.0,Customer client servicingTPA CoordinatorTPA ExecutiveCustomer Servicehelpdesk coordinatorcustomer carecustomer relationship managementcustomer client servicing…
565,Urgent Requirement for Admin Exceutive || Indore,Rays Technologies,"Indore, Madhya Pradesh",Nan, Only Female candidates need to apply.  Responsible for front office and Back office management.  Handling Incoming and outgoing calls.
566,Computer Operator With Specific Portal Handling,Scible infotech Pvt LTD,"Hisar, Haryana",120000.0,"Handling A team in Various City. Candidate have to take full responsibilities. Required Experience, Skills and Qualifications*."
567,Tender Executive,Tenders Infotech,"Ahmedabad, Gujarat",210000.0,Searching tenders various portal and approach client to bid tenders. Documentation preparation with respect to proposal due date.
568,Associate - Indirect Tax,PwC,"Bandra, Mumbai, Maharashtra",Nan,"A career in our Indirect Tax practice, within Tax services, will provide you with the opportunity to help our clients meet and manage their tax obligations…"
569,Purchase Officer,Artis Animal Health Care (I) Pvt. Ltd.,"Surat, Gujarat",Nan,For payments to the suppliers. Collections and streamlining of collection process from customers. Set up the supply chain for all services.
570,Executive Assistant,Reprographic,"Jaipur, Rajasthan",300000.0,"Patient, Hard Working, Knows the art of getting work done, Smart. Managing all the Admin, HR, Coordination with Sales team, Vendors & Managing Office work."
571,"Accounts Officer, Assistant Controller of Examination",All India Institute of Medical Sciences Delhi,"Nagpur, Maharashtra",328200.0,Maximum age limit for applying for the aforesaid posts on deputation is 56 years as on last date of receipt of application. Accounts Officer - Band 3 Rs.
572,Clerk cum Data Entry Operator,CS GRAPHIC DESIGN INC,"Delhi, Delhi",192000.0,"Gurgaon sector 14 -Company Address : Clerk cum Data Entry Operator Education : 14,000.00 to 18,000.00 /monthWalkin Date : Gurgaon sector 14 Last Date:"
573,IT- Admin Executive,SAGE Publications India Pvt. Ltd. Cookies Privacy...,"Delhi, Delhi",Nan,"Effective internal/external customer communication, including an effective phone manner. Type and design general correspondence, memos, charts, tables, graphs,…"
574,Tissue culture Lab assistant,I G Berries Pvt Ltd,"Chhindwara, Madhya Pradesh",108000.0,"Assist in Tissue culture Lab like Multiplication , cleaning etc. Multiplication of plants , Maintain hygiene, Cleaning etc."
575,Brand Promotion,The E5 Compay (C&L),"Mumbai, Maharashtra",1050000.0,Design BP based solution for clients/brands. It requires to work closely with the sales team & Design team for efficient delivery.
576,School Administrator / Front desk,Au Grand Air,"Urban Estate Gurgaon, Haryana",780000.0,"Excellent working knowledge including MS Office (Word, Excel, Outlook), Gmail, Gsuite. Excellent interpersonal, oral and written communication skills in English…"
577,Internal Auditing,KD Practice,"Mumbai, Maharashtra",Nan,"Coordination and interaction with client for understanding the business Conduct internal audits to assess the adequacy, effectiveness and efficiency of the…"
578,QA Manual Tester (Mobile & Web Testing),ZEN EXIM Private Limited,"Ahmedabad, Gujarat",240000.0,We looking for experience Into Mobile & Web Testing. We do have urgent opening for QA Tester.
579,Fresher Data Entry Operator/Computer Operator,R B Agarwalla and Company,"Kolkata, West Bengal",174000.0,Give the regular Detail of business. We are Looking Data Entry Operator staff . The Data Entry Operator will ensure the accuracy of data entries and perform…
580,Community Mobiliser-Vadodara,Dr. Reddys Foundation,"Vadodara, Gujarat",180000.0,1)Executing / Implementing outreach activities as per the outreach plan. Supporting Area Head in Outsourcing activities related to outreach.
581,Company Secretary,Centre for Management Development,"Alleppey, Kerala",0,"For further details and for online submission of application, please visit www.coircraft.com or www.cmdkerala.netGeneral Instructions. On a scale of pay of Rs."
582,Servicenow PMO,Wipro BPO,"Bengaluru, Karnataka",Nan,"ServiceNow Practice requires an experienced professional who would be able to Drive ServiceNow PMO globally . ""Wipro is an Equal Employment Opportunity employer…"
583,Area Service Incharge-Jodhpur,Jaquar,India,Nan,Interested one drop your CV at Id-vishal.srivastava@jaquar.com or Call at 0124-4746579*. (Only Male candidates are eligible).
584,Venture Coordinator,Barefoot College,"Tilonia, Rajasthan",270000.0,"To be considered for an interview, the applicant must have: Views living and working in villages as an immersive learning opportunity."
585,Marketing Merchandiser,Nandan Terry Pvt. Ltd.,"Ahmedabad, Gujarat",420000.0,"The candidate will be responsible for communication with buyer for new business development, shipments and payment coordination, will coordinate with factory…"
586,Accounts Payable Representative,stalks 'n' spice,India,Nan,"At least 6 months of experience that is directly related to the duties and responsibilities specified. Review and process for payment, purchase orders, invoices…"
587,Assistant,Kancheepuram Central Cooperative Bank,"Kanchipuram, Tamil Nadu",0,Interested Candidates Can Apply through the Official Website http://www.kpmdrb.in on or before 05.09.2019.FreshersLIVE wishes you all the best.
588,Intern,Deutsche Bank,"Mumbai, Maharashtra",Nan,"Our values define the working environment we strive to create – diverse, supportive and welcoming of different views."
589,Production Garment Supervisor (8+ yrs Exp),Banswara Syntex Ltd.,"Daman, Daman and Diu",270000.0,8 to 10 years in the garment industry. To check sample and line layout to advice line leader and operators how to make garments products.
590,Steno – Typists,Sonya Ceramics,"Ahmedabad, Gujarat",Nan,"A) Minimum Graduate in English Medium. B) Experience of taking dictation and typing on PC. C) Good knowledge of computer operating , typing & data entry."
591,Field Services,Ericsson,"Ahmedabad, Gujarat",Nan,You’ll feel the enthusiasm of a totally international and truly tenacious team at your side for the moments of life that matter to you.
592,Data Entry Clerk,San Ramon Valley Unified School District,Haryana,Nan,Employer: San Ramon Valley Unified School District Date Posted: 2/26/2019 Contact: Kim Wolkenmuth Number Openings: (At time of posting) 1 Length of Work Year:…
593,Dabur India Ltd Required & Back Office Profile Company On Ro...,SAHIBA ENTERPRISES,"Ahmedabad, Gujarat",Nan,R r Production Oversightr Plans and directs production activities and establishes production priorities for products in keeping with effective operations and…
594,Financial Controller - FMCG (10-13 yrs),Lakshya Food,India,0,An efficient and effective period close process that deliver accurate information; Responsible for meeting and exceeding customer expectations via setting clear…
595,"Draftsman Planning, Accounts Clerk, Sub Divisional Clerk",Haryana Staff Selection Commission (SSC),"Panchkula, Haryana",Nan,"Hindi/Sanskrit as one of the subject in Matriculation or Higher. Two years recognized certificate in Draftsmanship (Civil), or 3 years Diploma in Architecture."
596,Site Incharge,R.R.Engineers & Surveyors,"Raipur Ho., Chhattisgarh",375000.0,"Experience in Transmission & Substation line project preferably 5 to 10 years experience in the relevant field. BE, Diploma in Mechanical, Civil, Electrical."
597,[Government] Assistant,"UT Administration of Dadra & Nagar Haveli, Silvass...","Silvassa, Dadra and Nagar Haveli",73900.0,"The UT Administration of Dadra & Nagar Haveli invites online applications from the eligible candidates for the posts below under the Silvassa Municipal Council,…"
598,Admin Executive,educare Academy NEET / JEE TRAINING INSTITUTE,"Dindigul, Tamil Nadu",84000.0,Required admin executive with excellent communication skills in English and 1 -3 years experience with MS Office for office located in Dindigul .
599,Picker Packer Jobs In Thane Requirement Up To 300 Candidates,Global Intelenet,"Mumbai, Maharashtra",150000.0,Excellent Opportunity For You To Work With Indias Leading BPO MNC Fresher And Experience Candidate Apply Process Picker packer Both Day Night Shift Salary 10k…
600,Store / Logistics /supply chain walk in Interview,Autosystem,"Ahmedabad, Gujarat",Nan,"Maintains an inventory control system for the Warehouse to ensure goods received, stored and shipped from the Warehouse are properly recorded and accounted for."
601,Marketing Executive,Ikamate HR India Pvt.Ltd,"Ahmedabad, Gujarat",300000.0,"Candidates who have not previously worked in higher education will be expected to demonstrate an understanding of, and empathy with, the character and mission…"
602,Fresher Project Associate,Centre for Development of Advanced Computing (C-DA...,"Noida, Uttar Pradesh",465000.0,"Post Graduation Degree in relevant domain. HI-BD&PM, HI-DD&PM, E-Governance, Embedded Systems & Education & Training. 37 years as on date of closing."
603,Logistics Operations,Bharat Wire Ropes,"Lower Parel, Mumbai, Maharashtra",390000.0,"Preparation of Bank Documents after receipt of Payment & all original Documents. Responsible for the execution of export, import Documentation requirements for…"
604,Associate - Admin Assistant,Macquarie Group Limited,"Gurgaon, Haryana",Nan,"MAM has global reach, with a team of over 1,400 staff located in over 20 countries including Australia, Asia, the UK, Europe and the US."
605,Looking for front Office Executive,"SRV Hospital,","Goregaon, Mumbai, Maharashtra",Nan,If Interested request you to call on 7045909161. Way that will create an experience in accordance to SRV brand. Good written and spoken English.
606,Data Science (Jupyter/Azure ML/MatLab),Accenture,"Bengaluru, Karnataka",Nan,Join Accenture Technology and you’ll translate the operational needs of the world’s governments and leading businesses into the innovative technical solutions…
607,QA,Persistent Systems,"Bengaluru, Karnataka",Nan,"Expertise in web services, REST testing. Candidate should have exp is Java coding as well at least 50-60%.*. Strong expertise in SQL (Oracle) .."
608,Accounts and Admin Executive,HR Central,"Mumbai, Maharashtra",550000.0,Coordinating / follow up with Client Servicing for raising of requisitions for job undertaken.Preparing outstanding statement and updating the statement on…
609,Collection Officer,Arrms India Pvt Ltd,"Solapur, Maharashtra",Nan,"ARRMS India Private Limited is an asset resolution company, which provides complete debt recovery solutions with proactive legal actions."
610,Administrator,Neha's Fitness Studio,"Ahmedabad, Gujarat",Nan,Ensuring customer satisfaction at all times. Neha’s Cross Training is looking for a dynamic administrator/receptionist. Managing cash and making receipts.
611,Stores Incharge,ELECTRO CRIMP CONTACT (I) PVT.LTD,"Nashik, Maharashtra",180000.0,"*Job Summary* STORES INCHARGE Responsibilities and Duties STORES INCHARGE Job Type: Full-time Salary: ₹10,000.00 to ₹20,000.00 /month Experience: * work:…"
612,Clearance Administrator Associate,FedEx Express MEISA,"Mumbai, Maharashtra",Nan,"They, in turn, deliver the impeccable service demanded by our customers, who reward us with the profitability necessary to secure our future."
613,Sr. Accounts Executive,Shree Prakash Spring,"Vadodara, Gujarat",295000.0,Bank voucher preparation for the transaction done in the bank on daily basis. Ensure proper control on bank transactions. Records keeping for legal purpose.
614,Web Designer,Wama Software,"Ahmedabad, Gujarat",252000.0,"Job Summary 1) PSD\_to\_HTML conversation. 2) HTML\_5, CSS\_3. 3) SCSS, Javascript, Jquery. 4) Theme\_Customization. 5) Basic knowledge of Photoshop,…"
615,"Teacher for Hindi, Gk, Computer",AKSHAR ENGLISH PUBLIC SCHOOL,"Ahmedabad, Gujarat",90000.0,Our school is famous in krishananagar area. We have need a teacher who give good knowledge about Hindi and English language.
616,"Travel Executive, Accounting Support and Administration for...",THE TRAVEL TECH,"Bengaluru, Karnataka",325000.0,Working with suppliers on chasing and collecting unpaid commissions. Working with Support team for resolving agents' issues wrt trips and commissions.
617,Businees Associates-Resolution Agency,Aaditya Leafin Private Limited,"Ahmedabad, Gujarat",700000.0,Arrange Field Workers to meet out the requirements of the Bank. Reporting to concern Bank Authority on a regular basis. Business Associate is likely to -.
618,Trade Finace- Process Executive,Société Générale,India,Nan,"Established as an offshore development centre in Bangalore, also having a presence in Chennai, SG GSC has 15 years of sustainable delivery expertise to its…"
619,[Government] ONGC Aug-2019,ONGC,India,Nan,Https://www.ongcindia.com/wps/wcm/connect/43c06759-f800-42aa-b803-9632d6fca41f/ApprenticeNotification2019.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE…
620,Admin Executive,Wellisen,"Pune, Maharashtra",Nan,Please send your updated CV on hr@wellisen.com. To overview of administrative functions of the office as supportive to accounts and HR and monitor Inventory…
621,Farm Supervisor,Abellon Agrisciences,India,Nan,"Diploma/B.Sc/M.Sc Agriculture or relevant experience/ fresher. Supervision of plantation activity, logistics of products, store & inventory management."
622,Operations Associate,Leverage Edu,"Delhi, Delhi",Nan,Act as a primary point of contact between the client and the internal team. Keep a checklist of the client cases and track the progress.
623,Fashion Designer,Khaitan Public School,India,1150000.0,Please refer to the Job description above. Should have experience of 3 Years Harshal Singh Bisht HR 9811592846(Whataap your resume).
624,Accounts Officer- Surendranagar,SAVA,"Surendranagar, Gujarat",Nan,"Oversee the financial operations of the organization and… Maintain records of business costs, such as labor and material. … PG - Post Graduation Not Required."
625,Account Assistant for Retail /Textile /Garments Industry,Gunno Apparels Pvt Ltd,"Faridabad, Haryana",270000.0,"To be responsible for bank, credit card, petty cash and till float balance reconciliations. … Reconciliation of bank accounts held for the receipt of credit card…"
626,FnB Operation Executive,Le 15 Patisserie Pvt Ltd,"Mumbai, Maharashtra",300000.0,Identify and address problems and opportunities for the company. … Ll complaince laws of FnB industry are followed. … Should be from FnB or Hospitality Industry.
627,MIS Executive,Inductus,"Ranchi, Jharkhand",Nan,"Should be well versed with MRIGS, DDU-GKY MPR Portal. … Excellent Computer skills especially MS Excel and MS word. … Excellent follow-up and co-ordination skills."
628,Front Desk Officer,Vivo smartphones,"Burhanpur, Madhya Pradesh",138000.0,Maintain & Execute National Norms of vivo Service Centers for Front Desk. … Handle customer queries and give the satisfactory answer to them.
629,Purchase Assistant,ESSI Integrated Technologie,India,Nan,"Requirement & providing the best option available, Negotiation with supplier/vendor, Working Knowledge (Internet, Word, Excel), Follow–up on all orders placed,…"
630,Freelance Proof-readers,Austin Macauley Publishers FZE,"New Delhi, Delhi",Nan,"We’re seeking experienced, detail-oriented _Freelance Proof-readers… If you have a knack for grammatical accuracy, then you’re just the person we’re looking for!"
631,Purchase Supervisor,The Fern - An Ecotel Hotel,"Ahmedabad, Gujarat",Nan,"There’s also an upscale restaurant, a rooftop eatery, and a cafe with outdoor seating, as well as an indoor pool, a spa, a gym and 4 meeting rooms."
632,Postdoctoral Fellowship,Indian Institute of Technology Guwahati,"Guwahati, Assam",0,"The duration of the fellowship will be initially for a period of 1 year, extendable for a further period of two more years on… Maximum Age is 35 yearsAddress."
633,Real Estate Retail Company,BRIDGING TALENTS,"Ahmedabad, Gujarat",1250000.0,Sourcing of Legal and local body approved properties directly (as well as through local brokers) as per the expansion plans Ensuring smooth handover for fitouts…
634,Computer Operator cum Office Assistant,KEN'S CAB PVT LTD,"Gandhinagar, Gujarat",90000.0,A CAB Company Named Ken’s cab based in Gandhinagar Need office Assistant and Marketing Person too Ken’s cab is Pvt Ltd has its own Application Launched in…
635,Materials Assistant,Taj Hotels,"Bengaluru, Karnataka",Nan,"Supervise the receiving operations and ensure that the right quality and quantity of items are received, as per the purchase order."
636,Data Entry Operator,LTS International,"Trilokpuri, Delhi",180000.0,"10 AM to 6 PM. We are looking for Data Entry Operator (DEO), Maintain Data on our google drive applications (documents, sheets, forms) within the organization,…"
637,Manual Tester,Vserv Digital Services Pvt Ltd,"Mumbai, Maharashtra",305000.0,Any Graduate with working knowledge and experience in manual testing. Understand the Requirements thoroughly and should be able to build all Test Cases for…
